"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","HBIPS-5 Measure Description","HBIPS-5 %","HBIPS-5 Denominator","HBIPS-5 Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-2/-2a Measure_Desc","TOB-2 %","TOB-2 Denominator","TOB-2 Footnote","TOB-2a %","TOB-2a Denominator","TOB-2a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","Start Date","End Date","FAPH Measure Description","FAPH-30 %","FAPH-30 Denominator","FAPH-30 Footnote","FAPH-7 %","FAPH-7 Denominator","FAPH-7 Footnote","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date","IPFQR-HCP COVID-19 Measure Description","IPFQR-HCP COVID-19 %","IPFQR-HCP COVID-19 Denominator","IPFQR-HCP COVID-19 Footnote","IPFQR-HCP COVID-19 Start Date","IPFQR-HCP COVID-19 End Date"
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,Hours of physical-restraint use,0.00,0.07,2317,,Hours of seclusion use,0.10,5.48,2317,,Patients discharged on multiple antipsychotic medications with appropriate justification,0,25,,Screening for metabolic disorders (SMD),100,121,,Alcohol use brief intervention provided or offered,5,21,,5,20,,Alcohol and other drug use disorder treatment provided or offered at discharge,0,16,,0,16,,Tobacco use treatment provided or offered,94,52,,43,51,,Tobacco use treatment provided or offered at discharge,0,41,,0,41,,Transition record with specified elements received by discharged patients (TR1),0,202,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,57.6,33,,30.3,33,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,116,18.9,14.0,25.2,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),100,54,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,31,,10/01/2023,12/31/2023
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,Hours of physical-restraint use,1.50,19.39,538,,Hours of seclusion use,1.82,23.45,538,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,192,,Screening for metabolic disorders (SMD),100,349,,Alcohol use brief intervention provided or offered,100,48,,96,48,,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,100,292,,2,292,,Tobacco use treatment provided or offered at discharge,98,273,,0,273,,Transition record with specified elements received by discharged patients (TR1),96,404,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,37.9,29,,20.7,29,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,60,17.4,12.5,24.1,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),88,136,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),3.4,40,,10/01/2023,12/31/2023
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,Hours of physical-restraint use,0.00,0,7619,,Hours of seclusion use,0.00,0,7619,,Patients discharged on multiple antipsychotic medications with appropriate justification,11,27,,Screening for metabolic disorders (SMD),9,235,,Alcohol use brief intervention provided or offered,29,17,,33,15,,Alcohol and other drug use disorder treatment provided or offered at discharge,21,19,,21,19,,Tobacco use treatment provided or offered,1,94,,2,56,,Tobacco use treatment provided or offered at discharge,0,38,,0,38,,Transition record with specified elements received by discharged patients (TR1),54,361,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,52.1,48,,31.3,48,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,79.1,115,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,205,23.1,18.7,27.8,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),81,154,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,38,,10/01/2023,12/31/2023
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,Hours of physical-restraint use,0.00,0,3690,,Hours of seclusion use,0.00,0,3690,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),99,189,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,89,27,,84,25,,Tobacco use treatment provided or offered at discharge,82,17,,6,17,,Transition record with specified elements received by discharged patients (TR1),97,221,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,52.4,21,,14.3,21,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,129,18.9,14.1,24.7,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),99,106,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,50,,10/01/2023,12/31/2023
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,Hours of physical-restraint use,0.00,0,8117,,Hours of seclusion use,0.00,0,8117,,Patients discharged on multiple antipsychotic medications with appropriate justification,55,40,,Screening for metabolic disorders (SMD),96,450,,Alcohol use brief intervention provided or offered,80,40,,84,38,,Alcohol and other drug use disorder treatment provided or offered at discharge,84,105,,84,105,,Tobacco use treatment provided or offered,99,133,,92,133,,Tobacco use treatment provided or offered at discharge,80,123,,80,123,,Transition record with specified elements received by discharged patients (TR1),96,616,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,42.2,45,,20,45,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,146,20.8,16.2,26.0,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),99,276,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,67,,10/01/2023,12/31/2023
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,Hours of physical-restraint use,0.01,0.17,674,,Hours of seclusion use,0.16,2.52,674,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),59,34,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,73,11,,73,11,,Tobacco use treatment provided or offered,57,23,,0,21,,Tobacco use treatment provided or offered at discharge,61,18,,61,18,,Transition record with specified elements received by discharged patients (TR1),9,57,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,38,20.1,14.6,27.6,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),70,40,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,73,,10/01/2023,12/31/2023
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,Hours of physical-restraint use,0.17,41.78,10407,,Hours of seclusion use,0.56,138.75,10407,,Patients discharged on multiple antipsychotic medications with appropriate justification,56,16,,Screening for metabolic disorders (SMD),93,349,,Alcohol use brief intervention provided or offered,62,89,,67,66,,Alcohol and other drug use disorder treatment provided or offered at discharge,95,173,,95,173,,Tobacco use treatment provided or offered,66,248,,72,194,,Tobacco use treatment provided or offered at discharge,35,169,,14,169,,Transition record with specified elements received by discharged patients (TR1),76,639,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,37.3,59,,15.3,59,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,66.9,133,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,194,17.9,14.1,22.4,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),91,309,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),1,104,,10/01/2023,12/31/2023
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Hours of physical-restraint use,0.27,214.3,33600,,Hours of seclusion use,1.67,1342.77,33600,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,26,,Screening for metabolic disorders (SMD),88,386,,Alcohol use brief intervention provided or offered,98,298,,100,294,,Alcohol and other drug use disorder treatment provided or offered at discharge,99,255,,99,255,,Tobacco use treatment provided or offered,90,181,,1,180,,Tobacco use treatment provided or offered at discharge,87,166,,1,166,,Transition record with specified elements received by discharged patients (TR1),96,709,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,38.5,91,,18.7,91,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,68,125,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,261,19.6,16.1,24.0,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),73,349,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),6.9,308,,10/01/2023,12/31/2023
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,Hours of physical-restraint use,Not Available,Not Available,Not Available,7,Hours of seclusion use,Not Available,Not Available,Not Available,7,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,37,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),87,84,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,77.3,22,,13.6,22,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,63,17.9,13.0,24.9,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),85,20,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,55,,10/01/2023,12/31/2023
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,Hours of physical-restraint use,0.00,0,10327,,Hours of seclusion use,0.00,0,10327,,Patients discharged on multiple antipsychotic medications with appropriate justification,92,62,,Screening for metabolic disorders (SMD),90,415,,Alcohol use brief intervention provided or offered,100,114,,45,114,,Alcohol and other drug use disorder treatment provided or offered at discharge,31,153,,27,153,,Tobacco use treatment provided or offered,99,276,,9,276,,Tobacco use treatment provided or offered at discharge,85,236,,0,236,,Transition record with specified elements received by discharged patients (TR1),95,640,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,53.1,143,,27.3,143,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,72.5,182,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,361,20.2,17.0,23.9,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),85,303,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),52.2,75,,10/01/2023,12/31/2023
