Area Name,Employment,Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alaska(0200000),         280,        11.4,           -,           -,         2.1,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.891,        3.86
Arizona(0400000),         130,         5.9,      157.55,      327700,         0.6,       30.83,       58.27,           -,           -,           -,       64130,      121200,           -,           -,           -,       0.041,        0.18
Arkansas(0500000),          50,         6.6,           -,           -,         3.5,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.036,        0.16
California(0600000),        7130,        47.9,      102.07,      212300,        16.3,       61.23,       75.75,      107.95,      107.95,           -,      127350,      157560,      224540,      224540,           -,       0.398,        1.72
Colorado(0800000),        1090,        23.8,      158.10,      328850,        11.1,       84.33,           -,           -,           -,           -,      175400,           -,           -,           -,           -,       0.384,        1.66
Connecticut(0900000),         490,         4.5,      178.34,      370940,         9.2,       40.18,           -,           -,           -,           -,       83570,           -,           -,           -,           -,       0.293,        1.27
Florida(1200000),        2130,        21.8,      187.00,      388950,         2.8,      108.17,           -,           -,           -,           -,      224990,           -,           -,           -,           -,       0.223,        0.96
Georgia(1300000),         500,        20.4,      126.90,      263940,        15.7,       26.12,       60.81,           -,           -,           -,       54330,      126480,           -,           -,           -,       0.106,        0.46
Hawaii(1500000),           -,           -,           -,           -,         7.6,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -
Idaho(1600000),          70,        18.3,      140.26,      291740,         3.7,      111.31,           -,           -,           -,           -,      231530,           -,           -,           -,           -,       0.083,        0.36
Illinois(1700000),        1480,        22.6,      174.53,      363010,         6.1,       37.36,           -,           -,           -,           -,       77710,           -,           -,           -,           -,       0.246,        1.06
Indiana(1800000),         870,        29.6,           -,           -,         9.3,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.277,        1.20
Iowa(1900000),         350,         3.0,      160.32,      333470,         0.5,       56.14,           -,           -,           -,           -,      116760,           -,           -,           -,           -,       0.227,        0.98
Kentucky(2100000),         350,         9.6,      133.35,      277370,         6.4,       99.81,       99.97,      113.72,           -,           -,      207610,      207940,      236540,           -,           -,       0.180,        0.78
Louisiana(2200000),         190,        49.9,           -,           -,        25.9,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.103,        0.44
Maine(2300000),         140,         1.3,           -,           -,         0.3,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.224,        0.97
Maryland(2400000),         490,        13.4,      172.44,      358680,         1.9,      114.59,           -,           -,           -,           -,      238340,           -,           -,           -,           -,       0.185,        0.80
Massachusetts(2500000),         970,         5.8,      147.85,      307520,         3.0,       77.89,           -,           -,           -,           -,      162020,           -,           -,           -,           -,       0.266,        1.15
Michigan(2600000),        1020,        15.2,      156.43,      325380,         5.2,       31.35,           -,           -,           -,           -,       65200,           -,           -,           -,           -,       0.235,        1.02
Minnesota(2700000),         960,        25.2,      167.43,      348260,         2.7,       34.62,           -,           -,           -,           -,       72000,           -,           -,           -,           -,       0.332,        1.44
Missouri(2900000),         460,        41.4,      119.85,      249280,         8.0,       81.22,       87.95,      108.93,           -,           -,      168950,      182930,      226570,           -,           -,       0.161,        0.70
Montana(3000000),          80,        29.8,           -,           -,         4.4,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.164,        0.71
Nebraska(3100000),         370,        23.6,      164.61,      342400,        10.8,       31.84,       67.10,           -,           -,           -,       66220,      139560,           -,           -,           -,       0.370,        1.60
Nevada(3200000),           -,           -,      173.80,      361510,        20.8,       80.21,           -,           -,           -,           -,      166850,           -,           -,           -,           -,           -,           -
New Hampshire(3300000),         320,        11.2,      172.81,      359450,         3.5,      111.12,           -,           -,           -,           -,      231130,           -,           -,           -,           -,       0.473,        2.05
New Jersey(3400000),         480,        41.6,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.115,        0.50
New Mexico(3500000),         340,        13.3,      162.52,      338040,         3.4,       77.01,           -,           -,           -,           -,      160180,           -,           -,           -,           -,       0.400,        1.73
New York(3600000),        4440,        10.1,      120.81,      251290,         2.6,       39.35,       54.13,           -,           -,           -,       81860,      112580,           -,           -,           -,       0.472,        2.04
North Carolina(3700000),          40,         1.7,       74.11,      154150,         0.2,       20.01,       20.01,       63.28,           -,           -,       41620,       41620,      131620,           -,           -,       0.009,        0.04
North Dakota(3800000),         110,        38.2,           -,           -,        11.1,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.275,        1.19
Ohio(3900000),        1180,        37.7,           -,           -,         6.6,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.216,        0.93
Oklahoma(4000000),         240,        24.3,      133.01,      276660,         8.2,       71.04,       76.48,       97.24,           -,           -,      147750,      159080,      202250,           -,           -,       0.147,        0.64
Oregon(4100000),        1380,        30.9,      155.00,      322410,        10.5,      100.30,           -,           -,           -,           -,      208620,           -,           -,           -,           -,       0.709,        3.07
Pennsylvania(4200000),         350,        22.7,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.059,        0.25
South Carolina(4500000),          80,        13.3,      148.89,      309700,        12.6,       78.19,      106.23,      106.95,           -,           -,      162620,      220950,      222460,           -,           -,       0.037,        0.16
South Dakota(4600000),         110,         0.4,      149.22,      310370,         0.3,      108.22,      113.37,           -,           -,           -,      225110,      235800,           -,           -,           -,       0.249,        1.08
Texas(4800000),           -,           -,      123.99,      257890,        19.8,       32.75,       32.75,      100.96,           -,           -,       68110,       68110,      210000,           -,           -,           -,           -
Utah(4900000),         270,        41.3,      136.14,      283170,         6.7,       65.98,           -,           -,           -,           -,      137230,           -,           -,           -,           -,       0.161,        0.70
Vermont(5000000),          90,        13.0,           -,           -,         6.2,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.300,        1.30
Virginia(5100000),        1360,        23.9,      160.63,      334100,        11.5,       66.62,       97.11,           -,           -,           -,      138570,      201980,           -,           -,           -,       0.341,        1.48
Washington(5300000),           -,           -,           -,           -,        12.2,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -
West Virginia(5400000),         190,         6.5,      160.00,      332800,         6.3,       30.01,       57.97,           -,           -,           -,       62420,      120580,           -,           -,           -,       0.277,        1.20
Wisconsin(5500000),        1580,        17.8,      169.56,      352670,         5.1,      110.00,           -,           -,           -,           -,      228800,           -,           -,           -,           -,       0.549,        2.37
Wyoming(5600000),          60,        17.5,      125.62,      261300,        12.9,       78.04,       79.12,      109.04,           -,           -,      162330,      164570,      226810,           -,           -,       0.225,        0.97
