Area Name,Employment,Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alabama(0100000),         490,        16.6,      111.92,      232800,         8.4,       47.76,       83.97,      104.41,           -,           -,       99350,      174650,      217170,           -,           -,       0.239,        0.32
Alaska(0200000),         440,        11.6,      131.61,      273740,         4.2,       46.14,       78.48,           -,           -,           -,       95980,      163230,           -,           -,           -,       1.423,        1.93
Arizona(0400000),        3950,         5.5,      138.80,      288700,         1.9,       78.46,      104.25,           -,           -,           -,      163190,      216840,           -,           -,           -,       1.262,        1.71
Arkansas(0500000),        1180,         6.2,       62.07,      129110,         8.7,       28.84,       28.84,       28.84,       93.72,           -,       59980,       59980,       59980,      194930,           -,       0.932,        1.26
California(0600000),       15480,        13.9,      120.98,      251640,         4.0,       33.71,       70.33,      110.08,           -,           -,       70120,      146290,      228970,           -,           -,       0.862,        1.17
Colorado(0800000),        3470,         7.4,      117.62,      244640,         3.8,       34.26,       72.38,      112.60,           -,           -,       71260,      150550,      234220,           -,           -,       1.224,        1.66
Connecticut(0900000),        1580,        12.9,      110.87,      230610,        10.1,       37.25,       39.30,       97.62,           -,           -,       77470,       81750,      203060,           -,           -,       0.953,        1.29
Delaware(1000000),         530,        12.0,      122.86,      255550,         5.8,       65.68,       81.84,      109.06,           -,           -,      136610,      170240,      226840,           -,           -,       1.138,        1.54
Florida(1200000),        9710,        16.6,      121.90,      253560,         2.4,       54.73,       81.78,      110.57,           -,           -,      113840,      170110,      229990,           -,           -,       1.014,        1.38
Georgia(1300000),        2560,        10.9,      132.04,      274650,         6.3,       69.79,       90.00,      112.98,           -,           -,      145170,      187200,      235000,           -,           -,       0.539,        0.73
