Area Name,Employment,Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alabama(0100000),        5420,         2.6,       61.04,      126960,         1.2,       37.54,       57.52,       63.41,       67.27,       74.91,       78090,      119640,      131880,      139930,      155810,       2.640,        1.21
Alaska(0200000),         520,         3.4,       72.89,      151600,         1.4,       39.83,       66.20,       73.43,       83.37,       88.36,       82840,      137690,      152730,      173410,      183780,       1.667,        0.76
Arizona(0400000),        7530,         6.2,       64.33,      133800,         1.3,       39.50,       60.39,       65.85,       73.97,       79.48,       82160,      125600,      136960,      153860,      165330,       2.407,        1.10
Arkansas(0500000),        2770,         2.8,       61.83,      128600,         0.9,       46.95,       59.09,       63.23,       69.33,       76.71,       97660,      122900,      131510,      144200,      159550,       2.178,        1.00
California(0600000),       35980,         3.0,       75.62,      157280,         0.9,       46.11,       66.08,       77.38,       89.44,       98.20,       95910,      137450,      160950,      186040,      204250,       2.005,        0.92
Colorado(0800000),        5100,         3.3,       68.11,      141670,         0.8,       50.38,       63.13,       69.35,       77.65,       84.18,      104790,      131320,      144240,      161520,      175090,       1.801,        0.82
Connecticut(0900000),        3100,         5.7,       64.18,      133490,         1.1,       49.58,       61.44,       65.51,       73.64,       77.61,      103130,      127790,      136250,      153160,      161430,       1.870,        0.86
Delaware(1000000),         880,         9.6,       66.07,      137430,         3.5,       48.09,       59.61,       65.50,       77.22,       80.79,      100030,      123990,      136240,      160620,      168040,       1.883,        0.86
District of Columbia(1100000),         720,         9.5,       66.40,      138110,         2.8,       32.45,       62.07,       67.46,       77.75,       83.31,       67500,      129100,      140320,      161710,      173280,       1.033,        0.47
Florida(1200000),       21360,         3.6,       61.63,      128190,         1.2,       30.19,       59.60,       64.66,       71.89,       76.36,       62800,      123960,      134500,      149530,      158830,       2.232,        1.02
Georgia(1300000),       10690,         4.2,       61.64,      128220,         0.8,       41.94,       55.79,       63.19,       71.47,       80.35,       87230,      116040,      131440,      148650,      167140,       2.247,        1.03
Guam(6600000),          80,         5.0,       54.33,      113010,         1.0,       39.30,       46.15,       55.74,       64.55,       67.72,       81740,       96000,      115950,      134270,      140860,       1.229,        0.56
Hawaii(1500000),        1220,         7.5,       66.53,      138390,         1.2,       50.70,       61.18,       66.09,       76.51,       79.68,      105460,      127250,      137470,      159140,      165740,       1.976,        0.90
Idaho(1600000),        1580,         6.3,       62.09,      129140,         0.8,       31.32,       61.14,       64.22,       71.75,       77.58,       65140,      127170,      133580,      149240,      161360,       1.925,        0.88
