Area Name,Employment,Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alabama(0100000),        1070,        16.8,       46.26,       96210,         9.0,       25.00,       37.97,       46.81,       52.85,       63.79,       52000,       78970,       97360,      109930,      132680,       0.522,        0.54
Alaska(0200000),         510,         9.5,       71.39,      148480,         2.1,       49.65,       62.10,       67.80,       78.64,       85.05,      103270,      129160,      141020,      163570,      176900,       1.651,        1.72
Arizona(0400000),        3500,         9.2,       63.56,      132210,         1.7,       46.44,       56.25,       62.63,       72.97,       79.07,       96590,      117000,      130270,      151780,      164460,       1.118,        1.16
Arkansas(0500000),         930,         6.8,       42.65,       88720,         3.7,       15.25,       17.90,       47.70,       60.66,       70.90,       31730,       37230,       99220,      126180,      147470,       0.731,        0.76
California(0600000),       12880,         8.6,       74.02,      153960,         2.1,       40.60,       61.33,       75.71,       85.01,      100.91,       84450,      127570,      157490,      176810,      209890,       0.718,        0.75
Colorado(0800000),        2990,         6.8,       62.51,      130020,         1.4,       48.17,       53.85,       61.92,       68.18,       81.05,      100200,      112020,      128800,      141820,      168590,       1.056,        1.10
Connecticut(0900000),        2950,         7.2,       71.78,      149300,         1.9,       54.55,       61.50,       67.73,       82.28,       92.24,      113470,      127920,      140880,      171150,      191850,       1.774,        1.85
Delaware(1000000),         610,         7.4,       65.51,      136270,         1.4,       51.84,       53.33,       65.15,       75.00,       81.43,      107820,      110920,      135520,      156000,      169380,       1.295,        1.35
District of Columbia(1100000),         450,         7.0,       60.62,      126090,         1.7,       32.91,       53.55,       59.78,       69.34,       85.12,       68460,      111370,      124350,      144220,      177060,       0.641,        0.67
Florida(1200000),        9060,        11.0,       58.55,      121780,         3.9,       31.98,       49.03,       60.38,       66.57,       81.27,       66520,      101980,      125600,      138460,      169040,       0.946,        0.99
Georgia(1300000),        3760,         7.8,       55.60,      115650,         1.7,       26.82,       47.81,       54.42,       64.49,       77.28,       55780,       99440,      113200,      134140,      160740,       0.791,        0.82
Hawaii(1500000),         340,        15.8,       62.65,      130300,         5.8,       25.11,       39.87,       67.96,       79.03,       89.14,       52240,       82920,      141350,      164380,      185420,       0.556,        0.58
Idaho(1600000),        1170,         8.7,       54.75,      113870,         4.4,       16.05,       49.04,       58.99,       63.22,       71.71,       33380,      102010,      122690,      131500,      149150,       1.421,        1.48
Illinois(1700000),        3890,        15.4,       59.00,      122720,         1.8,       48.74,       51.91,       56.92,       63.99,       73.96,      101370,      107980,      118400,      133100,      153830,       0.647,        0.67
Indiana(1800000),        1980,        13.2,       63.04,      131120,         2.9,       48.06,       55.00,       60.22,       69.86,       87.23,       99960,      114400,      125250,      145320,      181440,       0.628,        0.65
Iowa(1900000),        1290,         9.2,       62.13,      129230,         1.1,       50.04,       54.88,       62.00,       64.99,       79.08,      104080,      114150,      128960,      135170,      164490,       0.834,        0.87
Kansas(2000000),         800,         8.6,       57.44,      119470,         1.3,       40.87,       50.41,       56.23,       63.36,       74.42,       85000,      104840,      116970,      131790,      154790,       0.567,        0.59
Kentucky(2100000),        1160,         9.8,       47.74,       99290,         5.7,       20.88,       38.95,       49.76,       58.89,       64.15,       43420,       81020,      103490,      122490,      133420,       0.592,        0.62
Louisiana(2200000),        1090,         6.7,       59.27,      123280,         1.9,       42.55,       51.60,       59.28,       66.86,       76.30,       88510,      107330,      123290,      139080,      158700,       0.587,        0.61
Maine(2300000),         700,         6.3,       63.84,      132790,         1.0,       51.65,       55.57,       63.24,       67.65,       79.58,      107430,      115580,      131540,      140700,      165530,       1.122,        1.17
Maryland(2400000),        3280,        11.7,       56.39,      117280,         4.3,       35.98,       41.65,       61.45,       66.73,       76.52,       74830,       86630,      127810,      138790,      159170,       1.225,        1.28
Massachusetts(2500000),        4130,         5.8,       63.72,      132550,         1.6,       28.13,       51.35,       65.25,       75.32,       92.23,       58510,      106810,      135720,      156670,      191840,       1.133,        1.18
Michigan(2600000),        5310,        10.2,       58.76,      122220,         1.1,       46.74,       50.96,       61.01,       64.76,       71.38,       97220,      106000,      126890,      134690,      148470,       1.222,        1.27
Minnesota(2700000),        3570,         6.0,       64.84,      134870,         0.8,       48.81,       59.02,       63.12,       71.70,       78.98,      101520,      122760,      131290,      149140,      164270,       1.240,        1.29
Mississippi(2800000),         460,        25.1,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.400,        0.42
Missouri(2900000),        1540,        15.5,       61.68,      128280,         2.9,       45.35,       52.99,       64.74,       72.33,       77.64,       94330,      110210,      134670,      150450,      161490,       0.534,        0.56
Montana(3000000),         660,         8.6,       63.68,      132450,         1.6,       51.63,       58.90,       63.15,       69.79,       75.83,      107380,      122520,      131340,      145170,      157720,       1.317,        1.37
Nebraska(3100000),        1200,         7.3,       60.74,      126330,         2.1,       47.68,       51.28,       60.14,       66.09,       79.75,       99160,      106660,      125090,      137470,      165880,       1.195,        1.24
Nevada(3200000),        1450,        17.3,       74.42,      154800,         6.5,       39.10,       60.82,       76.31,       81.53,       98.18,       81320,      126510,      158720,      169580,      204210,       0.979,        1.02
New Hampshire(3300000),         940,         7.8,       66.40,      138100,         2.0,       49.27,       56.57,       63.93,       75.52,       81.50,      102480,      117660,      132980,      157080,      169510,       1.391,        1.45
New Jersey(3400000),        3150,        22.0,       71.32,      148350,         2.4,       54.32,       64.31,       65.91,       79.20,       85.95,      112980,      133770,      137100,      164740,      178780,       0.750,        0.78
New Mexico(3500000),         530,         9.5,       64.01,      133140,         1.9,       43.53,       52.26,       63.43,       73.09,       83.01,       90540,      108710,      131930,      152030,      172660,       0.629,        0.66
New York(3600000),       16690,         9.1,       66.54,      138410,         3.4,       36.68,       57.78,       66.10,       80.32,       82.94,       76290,      120180,      137490,      167060,      172500,       1.777,        1.85
North Carolina(3700000),        8180,         3.5,       59.55,      123860,         1.2,       45.91,       51.99,       60.81,       65.75,       75.53,       95490,      108130,      126480,      136770,      157100,       1.706,        1.78
North Dakota(3800000),         250,         8.1,       61.22,      127350,         1.2,       47.37,       57.53,       63.78,       65.92,       76.71,       98530,      119670,      132660,      137120,      159570,       0.606,        0.63
Ohio(3900000),        4190,         8.9,       57.67,      119950,         1.7,       45.05,       49.63,       58.74,       63.26,       73.94,       93700,      103230,      122180,      131570,      153790,       0.766,        0.80
Oklahoma(4000000),        1680,        13.5,       59.67,      124120,         2.2,       22.53,       52.40,       60.61,       71.09,       77.44,       46850,      108980,      126080,      147860,      161080,       1.008,        1.05
Oregon(4100000),        1420,         7.0,       68.18,      141810,         1.5,       52.24,       60.93,       64.78,       76.66,       82.97,      108670,      126730,      134740,      159450,      172590,       0.733,        0.76
Pennsylvania(4200000),        8730,         6.2,       57.58,      119760,         1.9,       46.36,       49.03,       57.30,       63.05,       72.71,       96440,      101980,      119170,      131150,      151240,       1.467,        1.53
Rhode Island(4400000),         390,         7.9,       63.20,      131460,         1.6,       47.03,       52.15,       61.02,       71.56,       83.24,       97810,      108460,      126920,      148850,      173130,       0.789,        0.82
South Carolina(4500000),        2100,         8.7,       54.96,      114310,         1.8,       40.86,       49.51,       55.15,       62.75,       65.12,       84990,      102980,      114710,      130520,      135460,       0.944,        0.98
South Dakota(4600000),         580,         4.9,       59.09,      122900,         1.5,       49.61,       50.62,       58.21,       67.45,       71.40,      103190,      105290,      121070,      140290,      148510,       1.314,        1.37
Tennessee(4700000),        2240,         7.9,       54.66,      113690,         1.5,       41.40,       47.27,       53.62,       61.04,       66.67,       86120,       98310,      111540,      126970,      138680,       0.696,        0.73
Texas(4800000),        8630,         9.5,       64.80,      134780,         1.8,       50.41,       56.65,       63.02,       76.54,       80.77,      104840,      117840,      131080,      159210,      168010,       0.637,        0.66
Utah(4900000),        1550,         5.4,       60.80,      126460,         1.4,       46.65,       51.23,       61.57,       66.51,       80.01,       97040,      106560,      128060,      138340,      166420,       0.921,        0.96
Vermont(5000000),         370,         5.6,       67.24,      139850,         1.2,       52.10,       58.73,       65.25,       71.56,       84.27,      108370,      122150,      135710,      148850,      175280,       1.223,        1.27
Virgin Islands(7800000),          30,        47.8,       69.51,      144570,         8.8,       52.12,       54.32,       63.19,       83.04,      103.49,      108420,      112980,      131440,      172730,      215270,       0.896,        0.93
Virginia(5100000),        3760,         7.4,       57.70,      120010,         1.6,       37.31,       49.50,       58.64,       67.77,       77.27,       77600,      102970,      121980,      140960,      160720,       0.945,        0.99
Washington(5300000),        3240,         7.3,       73.46,      152800,         2.2,       51.39,       63.77,       75.45,       81.28,       96.87,      106890,      132650,      156930,      169060,      201480,       0.926,        0.96
West Virginia(5400000),         750,         9.5,       58.55,      121790,         3.1,       39.90,       49.48,       58.09,       64.74,       76.00,       83000,      102920,      120820,      134660,      158090,       1.085,        1.13
Wisconsin(5500000),        3340,         7.6,       61.43,      127770,         1.6,       48.38,       53.37,       61.82,       65.17,       76.68,      100630,      111010,      128580,      135560,      159500,       1.156,        1.20
Wyoming(5600000),         310,        10.1,       66.86,      139060,         1.2,       51.21,       58.14,       65.84,       76.94,       79.01,      106520,      120920,      136940,      160040,      164330,       1.147,        1.19
