Area Name,Employment,Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alabama(0100000),       50450,         1.2,       34.31,       71370,         0.4,       24.19,       28.44,       31.68,       38.03,       44.65,       50310,       59140,       65900,       79100,       92870,      24.573,        1.18
Alaska(0200000),        6590,         2.6,       52.51,      109210,         0.4,       39.90,       43.04,       51.16,       60.13,       63.51,       82980,       89530,      106410,      125060,      132090,      21.158,        1.01
Arizona(0400000),       63150,         1.5,       43.96,       91430,         0.4,       33.68,       38.57,       42.46,       49.38,       52.77,       70060,       80230,       88310,      102710,      109750,      20.177,        0.96
Arkansas(0500000),       29690,         1.4,       35.05,       72900,         0.4,       21.73,       29.73,       35.06,       39.16,       46.17,       45200,       61830,       72920,       81450,       96040,      23.353,        1.12
California(0600000),      332560,         4.4,       66.20,      137690,         2.9,       40.15,       50.67,       64.42,       80.90,       93.38,       83510,      105390,      133990,      168280,      194240,      18.531,        0.89
Colorado(0800000),       53480,         1.0,       44.10,       91730,         0.3,       34.04,       38.65,       41.78,       49.10,       54.23,       70790,       80390,       86900,      102140,      112800,      18.884,        0.90
Connecticut(0900000),       36430,         1.6,       48.96,      101840,         0.6,       37.68,       40.78,       48.37,       52.73,       61.13,       78370,       84820,      100620,      109670,      127150,      21.943,        1.05
Delaware(1000000),       11810,         1.7,       45.51,       94670,         0.6,       35.48,       39.93,       44.81,       50.08,       58.97,       73800,       83050,       93200,      104170,      122670,      25.167,        1.20
District of Columbia(1100000),       10810,         4.1,       51.37,      106850,         2.7,       36.22,       39.66,       50.59,       59.59,       65.44,       75340,       82490,      105220,      123950,      136120,      15.401,        0.74
Florida(1200000),      207910,         0.9,       40.75,       84760,         0.4,       30.54,       34.07,       38.92,       45.34,       50.76,       63520,       70870,       80960,       94310,      105580,      21.729,        1.04
Georgia(1300000),       93730,         1.4,       43.27,       90000,         0.6,       30.51,       35.48,       40.20,       48.89,       59.77,       63450,       73790,       83620,      101680,      124330,      19.701,        0.94
Guam(6600000),         740,         3.0,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,      11.410,        0.55
Hawaii(1500000),       11920,         2.1,       57.55,      119710,         0.5,       38.98,       48.38,       62.12,       66.38,       70.17,       81070,      100630,      129210,      138060,      145940,      19.313,        0.92
Idaho(1600000),       14060,         2.0,       39.95,       83090,         0.7,       29.91,       34.34,       38.53,       45.93,       50.62,       62210,       71430,       80130,       95540,      105300,      17.088,        0.82
Illinois(1700000),      139910,         1.4,       42.14,       87650,         0.4,       30.72,       36.99,       39.65,       48.70,       50.55,       63900,       76930,       82470,      101290,      105140,      23.274,        1.11
Indiana(1800000),       68850,         1.2,       39.76,       82700,         0.3,       29.67,       31.99,       37.76,       45.21,       49.86,       61710,       66530,       78530,       94040,      103710,      21.811,        1.04
Iowa(1900000),       33300,         1.1,       35.87,       74610,         0.5,       29.45,       31.16,       34.41,       38.70,       43.65,       61250,       64800,       71570,       80490,       90800,      21.555,        1.03
Kansas(2000000),       31120,         1.3,       36.65,       76240,         0.4,       28.25,       30.87,       36.43,       39.35,       45.63,       58760,       64210,       75780,       81860,       94900,      22.037,        1.05
