Area Name,Employment,Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alabama(0100000),        2210,         3.2,       29.58,       61520,         0.4,       22.33,       24.59,       29.49,       31.87,       37.78,       46440,       51140,       61340,       66280,       78570,       1.079,        1.26
Alaska(0200000),         130,         4.0,       45.48,       94590,         0.5,       39.86,       40.27,       45.21,       48.35,       53.48,       82910,       83760,       94030,      100570,      111230,       0.415,        0.49
Arizona(0400000),        3100,         2.6,       35.94,       74750,         0.5,       29.89,       32.34,       35.83,       39.02,       40.95,       62180,       67270,       74520,       81170,       85180,       0.989,        1.16
Arkansas(0500000),        1670,         5.8,       31.27,       65050,         0.7,       23.43,       26.56,       31.25,       34.72,       38.32,       48740,       55250,       64990,       72210,       79700,       1.315,        1.54
California(0600000),       15480,         1.4,       49.55,      103060,         0.4,       36.64,       39.41,       48.66,       58.54,       66.01,       76220,       81980,      101200,      121760,      137300,       0.862,        1.01
Colorado(0800000),        1830,         1.7,       38.59,       80270,         0.4,       31.58,       32.72,       38.83,       41.38,       47.69,       65680,       68060,       80770,       86060,       99190,       0.646,        0.76
Connecticut(0900000),        1240,         4.4,       41.01,       85310,         1.5,       31.77,       35.80,       39.23,       42.45,       49.96,       66080,       74460,       81590,       88290,      103920,       0.748,        0.88
Delaware(1000000),         420,         2.5,       41.33,       85960,         0.4,       32.63,       38.27,       40.30,       47.19,       49.08,       67870,       79610,       83820,       98160,      102080,       0.886,        1.04
District of Columbia(1100000),         360,         9.5,       45.79,       95240,         4.4,       36.80,       40.78,       51.19,       51.24,       61.25,       76550,       84820,      106480,      106580,      127390,       0.517,        0.61
Florida(1200000),        8950,         1.5,       35.67,       74190,         0.5,       28.25,       31.37,       36.73,       38.66,       41.90,       58760,       65250,       76390,       80400,       87160,       0.935,        1.09
Georgia(1300000),        4420,         2.0,       39.62,       82400,         0.5,       28.15,       31.67,       37.74,       43.89,       50.16,       58540,       65860,       78490,       91290,      104340,       0.928,        1.09
Hawaii(1500000),         330,         2.3,       43.25,       89960,         0.5,       38.11,       40.05,       43.69,       45.61,       48.66,       79260,       83300,       90860,       94860,      101220,       0.542,        0.63
Idaho(1600000),         550,         4.2,       34.37,       71480,         0.6,       29.89,       31.57,       33.37,       36.77,       40.64,       62180,       65660,       69400,       76480,       84530,       0.663,        0.78
Illinois(1700000),        5130,         3.9,       38.17,       79390,         0.7,       30.19,       33.15,       37.97,       41.14,       45.78,       62790,       68960,       78980,       85560,       95220,       0.854,        1.00
Indiana(1800000),        3310,         2.6,       33.83,       70360,         0.9,       26.50,       30.23,       33.52,       38.23,       39.97,       55110,       62880,       69720,       79520,       83140,       1.047,        1.23
Iowa(1900000),        1010,         3.5,       33.11,       68880,         0.8,       25.92,       29.42,       31.18,       36.57,       38.64,       53910,       61200,       64850,       76060,       80360,       0.652,        0.76
Kansas(2000000),        1320,         4.1,       34.12,       70960,         0.8,       26.22,       30.51,       33.38,       38.28,       41.41,       54530,       63460,       69420,       79610,       86130,       0.937,        1.10
Kentucky(2100000),        2720,         1.8,       31.41,       65330,         0.5,       24.33,       27.94,       30.49,       36.49,       37.54,       50610,       58120,       63420,       75900,       78090,       1.388,        1.62
Louisiana(2200000),        1910,         2.9,       32.76,       68140,         0.6,       26.01,       29.62,       31.68,       35.81,       39.03,       54100,       61610,       65890,       74470,       81170,       1.030,        1.21
Maine(2300000),         470,         2.7,       35.16,       73130,         0.4,       27.28,       31.13,       36.33,       38.10,       42.59,       56740,       64750,       75560,       79250,       88590,       0.756,        0.88
Maryland(2400000),        1710,        14.0,       41.73,       86790,         2.3,       32.06,       38.15,       40.14,       47.25,       48.83,       66690,       79340,       83500,       98280,      101570,       0.638,        0.75
Massachusetts(2500000),        2500,         4.0,       43.42,       90320,         0.6,       32.85,       37.95,       41.68,       48.37,       54.96,       68330,       78940,       86700,      100600,      114320,       0.687,        0.80
Michigan(2600000),        4540,         2.8,       34.49,       71740,         0.5,       28.80,       30.99,       34.35,       38.01,       39.77,       59890,       64450,       71450,       79060,       82720,       1.044,        1.22
Minnesota(2700000),        1200,         6.0,       40.52,       84290,         1.1,       33.11,       37.90,       39.56,       44.62,       46.56,       68860,       78830,       82280,       92800,       96840,       0.417,        0.49
Mississippi(2800000),        1610,         3.5,       32.19,       66960,         2.9,       23.40,       24.56,       29.23,       31.35,       39.81,       48670,       51080,       60800,       65210,       82800,       1.398,        1.64
Missouri(2900000),        2910,         3.1,       33.87,       70450,         0.9,       25.45,       30.03,       32.59,       38.08,       40.39,       52940,       62460,       67780,       79210,       84020,       1.012,        1.18
Montana(3000000),         390,        12.8,       37.09,       77140,         2.8,       26.89,       30.36,       37.46,       39.51,       47.06,       55920,       63160,       77910,       82180,       97870,       0.771,        0.90
Nebraska(3100000),         880,         6.0,       34.07,       70860,         0.7,       28.63,       30.45,       33.44,       37.28,       39.25,       59550,       63340,       69560,       77550,       81640,       0.883,        1.03
